#hg38.knownCanonical.transcript	hg38.refGene.name	hg38.refGene.name2
ENST00000367772.8	NM_181093	SCYL3
ENST00000498671.1	NR_002778	RPL29P2
ENST00000494679.2	n/a	n/a
ENST00000261652.6	NM_012452	TNFRSF13B
ENST00000493028.1	n/a	n/a
ENST00000398470.1	NM_001190460	KRTAP9-1
ENST00000478664.3	n/a	n/a
ENST00000478739.2	n/a	n/a
ENST00000497954.1	n/a	n/a
ENST00000391417.5	NM_033061,	KRTAP4-7,
ENST00000472363.1	n/a	n/a
ENST00000486753.1	n/a	n/a
ENST00000465845.2	n/a	n/a
ENST00000475274.1	n/a	n/a
ENST00000579522.1	n/a	n/a
ENST00000481618.2	n/a	n/a
ENST00000440582.1	n/a	n/a
ENST00000395906.7	NM_006382	CDRT1
ENST00000471945.1	n/a	n/a
ENST00000599026.1	NR_136407,	LOC105371430,
ENST00000334109.3	NM_033191,	KRTAP9-4,
ENST00000483452.3	n/a	n/a
ENST00000466869.1	n/a	n/a
ENST00000489624.2	n/a	n/a
ENST00000496272.1	n/a	n/a
ENST00000461606.1	n/a	n/a
ENST00000467217.1	n/a	n/a
ENST00000480386.1	n/a	n/a
ENST00000484823.3	n/a	n/a
ENST00000495536.1	n/a	n/a
ENST00000490847.1	n/a	n/a
ENST00000495111.1	n/a	n/a
ENST00000475545.1	n/a	n/a
ENST00000467595.3	n/a	n/a
ENST00000464937.3	n/a	n/a
ENST00000471402.1	n/a	n/a
ENST00000462543.3	n/a	n/a
ENST00000469001.2	n/a	n/a
ENST00000478577.1	n/a	n/a
ENST00000471221.3	n/a	n/a
ENST00000498361.3	n/a	n/a
ENST00000479840.1	n/a	n/a
ENST00000492744.3	n/a	n/a
ENST00000487023.2	n/a	n/a
ENST00000487833.2	n/a	n/a
ENST00000483901.2	n/a	n/a
ENST00000514264.6	NM_001018137	NME2
ENST00000453002.2	n/a	n/a
ENST00000475661.3	n/a	n/a
ENST00000484759.3	n/a	n/a
ENST00000471015.3	n/a	n/a
ENST00000292114.7	NM_152464	TMEM199
ENST00000462007.1	n/a	n/a
ENST00000479057.1	n/a	n/a
ENST00000497885.1	NR_103482	LOC101559451
ENST00000492507.1	n/a	n/a
ENST00000435925.2	NR_123730	LOC339260
ENST00000480790.3	n/a	n/a
ENST00000377726.2	NM_033062	KRTAP4-2
ENST00000474761.1	n/a	n/a
ENST00000482905.2	n/a	n/a
ENST00000479856.1	n/a	n/a
ENST00000488739.3	n/a	n/a
ENST00000628006.2	n/a	n/a
ENST00000495592.2	n/a	n/a
ENST00000499842.1	NR_038230	PICART1
ENST00000499670.2	NR_026914	MGC16275
ENST00000501718.2	n/a	n/a
ENST00000514992.2	NR_015341	SMURF2P1-LRRC37BP1
ENST00000511867.1	n/a	n/a
ENST00000508743.1	NR_135674	LOC105371814
ENST00000510589.1	n/a	n/a
ENST00000502823.5	NR_110884	LOC102724596
ENST00000514388.1	n/a	n/a
ENST00000293826.4	NM_172089	TNFSF12-TNFSF13
ENST00000508857.2	n/a	n/a
ENST00000502398.1	n/a	n/a
ENST00000515692.1	n/a	n/a
ENST00000515049.1	n/a	n/a
ENST00000514726.1	NR_110751	LINC02071
ENST00000650459.1	NR_110806	LINC01969
ENST00000502300.1	n/a	n/a
ENST00000545289.5	n/a	n/a
ENST00000509950.1	NR_110805	LINC02075
ENST00000510059.1	n/a	n/a
ENST00000511179.1	n/a	n/a
ENST00000509833.1	n/a	n/a
ENST00000514506.1	NR_103773	LOC100288866
ENST00000505978.1	n/a	n/a
ENST00000505793.1	NR_038439	CACNA1G-AS1
ENST00000507171.1	n/a	n/a
ENST00000506504.3	n/a	n/a
ENST00000511361.1	n/a	n/a
ENST00000513017.1	NR_135675	LOC105371824
ENST00000647923.1	n/a	n/a
ENST00000398851.7	NR_015341	SMURF2P1-LRRC37BP1
ENST00000448471.2	NM_001258	CDK3
ENST00000512720.1	n/a	n/a
ENST00000505903.1	n/a	n/a
ENST00000511322.1	NR_110883	LOC102724596
ENST00000513378.1	n/a	n/a
ENST00000508851.1	NR_125805	TMEM92-AS1
ENST00000502435.1	n/a	n/a
ENST00000508151.1	n/a	n/a
ENST00000504865.3	n/a	n/a
ENST00000455584.2	NM_006382	CDRT1
ENST00000511142.1	n/a	n/a
ENST00000512717.1	n/a	n/a
ENST00000515889.1	n/a	n/a
ENST00000515954.1	n/a	n/a
ENST00000515955.1	n/a	n/a
ENST00000515970.1	n/a	n/a
ENST00000516000.1	n/a	n/a
ENST00000516003.1	n/a	n/a
ENST00000516009.1	n/a	n/a
ENST00000516020.1	n/a	n/a
ENST00000516056.1	n/a	n/a
ENST00000516172.1	n/a	n/a
ENST00000516230.1	n/a	n/a
ENST00000516233.1	n/a	n/a
ENST00000516303.1	n/a	n/a
ENST00000516320.1	n/a	n/a
ENST00000516403.1	n/a	n/a
ENST00000516433.1	n/a	n/a
ENST00000516465.1	n/a	n/a
ENST00000516470.1	n/a	n/a
ENST00000516474.1	n/a	n/a
ENST00000516496.1	n/a	n/a
ENST00000516519.1	n/a	n/a
ENST00000516540.1	n/a	n/a
ENST00000516543.1	n/a	n/a
ENST00000516554.1	n/a	n/a
ENST00000516561.1	n/a	n/a
ENST00000516574.1	n/a	n/a
ENST00000516582.1	n/a	n/a
ENST00000516637.1	n/a	n/a
ENST00000516647.1	n/a	n/a
ENST00000516674.1	n/a	n/a
ENST00000516725.1	n/a	n/a
ENST00000516736.1	n/a	n/a
ENST00000516768.1	NR_002999	SCARNA20
ENST00000516809.1	n/a	n/a
ENST00000516819.2	n/a	n/a
ENST00000516827.1	n/a	n/a
ENST00000516844.1	n/a	n/a
ENST00000516848.1	n/a	n/a
ENST00000516876.1	n/a	n/a
ENST00000516890.1	NR_145761	SNORA21B
ENST00000516898.1	n/a	n/a
ENST00000516920.1	n/a	n/a
ENST00000517026.1	NR_003000	SCARNA21
ENST00000517073.1	n/a	n/a
ENST00000517162.1	n/a	n/a
ENST00000517249.1	n/a	n/a
ENST00000517255.1	n/a	n/a
ENST00000517275.3	n/a	n/a
ENST00000511627.1	n/a	n/a
ENST00000523101.1	n/a	n/a
ENST00000521764.2	NM_199290	NACA2
ENST00000523083.1	n/a	n/a
ENST00000518420.1	n/a	n/a
ENST00000521340.1	n/a	n/a
ENST00000531680.2	n/a	n/a
ENST00000413242.6	NM_020652	ZNF286A
ENST00000545221.2	n/a	n/a
ENST00000537819.2	n/a	n/a
ENST00000540082.1	n/a	n/a
ENST00000472655.3	NR_110124	LINC01152
ENST00000461109.1	n/a	n/a
ENST00000539111.6	NM_007215	POLG2
ENST00000540040.2	NM_001190452	MTRNR2L1
ENST00000537309.1	NM_001007532,	STH,
ENST00000542475.2	NM_001105520	C17orf100
ENST00000538774.1	n/a	n/a
ENST00000335666.4	NM_181790	GPR142
ENST00000548801.1	NR_029608	MIR10A
ENST00000397640.5	NM_001113324	TEN1
ENST00000550383.1	NR_037928	P2RX5-TAX1BP3
ENST00000439424.6	NM_174893	C17orf49
ENST00000577790.1	NM_001174103	RSKR
ENST00000556440.6	NM_138363	CEP95
ENST00000591482.1	NM_152464	TMEM199
ENST00000522212.6	NM_001204478	TVP23C-CDRT4
ENST00000556126.2	NM_001162997	SMIM6
ENST00000559488.5	NM_000212	ITGB3
ENST00000412468.3	NM_001102614,	SLC35G6,
ENST00000560822.1	n/a	n/a
ENST00000559739.1	n/a	n/a
ENST00000323322.9	NM_000515	GH1
ENST00000561102.1	n/a	n/a
ENST00000560400.1	n/a	n/a
ENST00000560629.1	NM_000212	ITGB3
ENST00000563063.1	n/a	n/a
ENST00000568256.1	NR_033371	CDRT7
ENST00000575922.5	NR_135654	LOC105371925
ENST00000566971.2	n/a	n/a
ENST00000567574.1	NR_146896	LINC01992
ENST00000239165.8	NM_004502	HOXB7
ENST00000570034.1	NR_033799,	NSFP1,
ENST00000566825.5	n/a	n/a
ENST00000618784.1	n/a	n/a
ENST00000569055.2	NM_001291462,	TBC1D3G,
ENST00000565659.1	NM_033194	HSPB9
ENST00000562897.1	n/a	n/a
ENST00000562672.2	n/a	n/a
ENST00000567955.3	NM_001194958	KCNJ18
ENST00000566986.1	n/a	n/a
ENST00000566532.1	n/a	n/a
ENST00000564762.1	n/a	n/a
ENST00000569074.1	NR_104152	CASC17
ENST00000563394.1	n/a	n/a
ENST00000563569.1	n/a	n/a
ENST00000562182.1	n/a	n/a
ENST00000564549.1	n/a	n/a
ENST00000590346.5	NR_030732	WFDC21P
ENST00000566930.6	NR_110748	LINC01989
ENST00000567452.1	NR_002818	RNF126P1
ENST00000577560.1	n/a	n/a
ENST00000565271.1	NR_130916	LOC105274304
ENST00000563924.5	NM_000442	PECAM1
ENST00000649294.1	NR_037709	TEN1-CDK3
ENST00000569543.1	n/a	n/a
ENST00000569955.2	NR_036750,	LOC440434,
ENST00000565120.1	NR_136406	LINC01976
ENST00000562555.1	n/a	n/a
ENST00000576912.1	n/a	n/a
ENST00000572821.5	NR_147912	LOC100288728
ENST00000573270.1	NR_145431	LINC01996
ENST00000576210.1	n/a	n/a
ENST00000572193.1	n/a	n/a
ENST00000636752.1	n/a	n/a
ENST00000571689.1	NR_034082	LOC100130950
ENST00000572529.1	n/a	n/a
ENST00000572349.1	n/a	n/a
ENST00000573312.1	n/a	n/a
ENST00000570493.2	n/a	n/a
ENST00000575474.1	NM_004489	GPS2
ENST00000575593.1	n/a	n/a
ENST00000576234.1	NR_148968	LOC400627
ENST00000572855.1	n/a	n/a
ENST00000575506.3	NM_001355573	CCDC92B
ENST00000577104.1	n/a	n/a
ENST00000572491.2	n/a	n/a
ENST00000575404.1	n/a	n/a
ENST00000466683.2	n/a	n/a
ENST00000576138.1	n/a	n/a
ENST00000576526.1	n/a	n/a
ENST00000576252.1	NR_135633	LOC101927727
ENST00000573301.1	n/a	n/a
ENST00000575126.1	n/a	n/a
ENST00000576461.1	NR_110883	LOC102724596
ENST00000575312.1	n/a	n/a
ENST00000572876.1	NR_136412	LOC105371592
ENST00000571972.1	n/a	n/a
ENST00000570711.5	NR_040011,	LOC100506388,
ENST00000571520.1	n/a	n/a
ENST00000571722.3	NR_003924,	SNORD3B-2,
ENST00000576751.1	n/a	n/a
ENST00000571766.2	n/a	n/a
ENST00000573222.1	n/a	n/a
ENST00000570366.1	n/a	n/a
ENST00000576859.1	n/a	n/a
ENST00000571506.1	NR_135644	DHX33-DT
ENST00000573526.1	n/a	n/a
ENST00000574826.1	n/a	n/a
ENST00000571085.1	n/a	n/a
ENST00000573877.1	n/a	n/a
ENST00000570895.1	n/a	n/a
ENST00000575085.1	n/a	n/a
ENST00000635921.1	n/a	n/a
ENST00000576632.1	n/a	n/a
ENST00000574526.1	NR_110851	LINC01978
ENST00000573866.2	NR_006882	SNORD3D
ENST00000575911.1	n/a	n/a
ENST00000648736.1	NM_001272086	LOC100130370
ENST00000574260.1	n/a	n/a
ENST00000358446.2	n/a	n/a
ENST00000573698.1	n/a	n/a
ENST00000575326.1	n/a	n/a
ENST00000571884.1	n/a	n/a
ENST00000647948.1	n/a	n/a
ENST00000572092.1	n/a	n/a
ENST00000572818.2	n/a	n/a
ENST00000572499.1	n/a	n/a
ENST00000572923.1	n/a	n/a
ENST00000572187.1	n/a	n/a
ENST00000577138.1	NM_001185022	CLDN7
ENST00000572919.1	NM_013276	SHPK
ENST00000576032.1	n/a	n/a
ENST00000573168.1	n/a	n/a
ENST00000575692.1	n/a	n/a
ENST00000577023.1	n/a	n/a
ENST00000570408.1	n/a	n/a
ENST00000575043.1	n/a	n/a
ENST00000570454.1	n/a	n/a
ENST00000571784.1	n/a	n/a
ENST00000573670.1	n/a	n/a
ENST00000571053.1	NR_027025	MTVR2
ENST00000572594.1	n/a	n/a
ENST00000576554.1	n/a	n/a
ENST00000576752.1	n/a	n/a
ENST00000574560.1	n/a	n/a
ENST00000574520.3	n/a	n/a
ENST00000571775.1	n/a	n/a
ENST00000571429.2	n/a	n/a
ENST00000573331.5	NR_037719,	TMEM256-PLSCR3,
ENST00000572227.1	n/a	n/a
ENST00000576545.1	n/a	n/a
ENST00000574657.1	n/a	n/a
ENST00000572223.1	n/a	n/a
ENST00000575289.1	n/a	n/a
ENST00000575018.1	n/a	n/a
ENST00000570760.2	NM_007278	GABARAP
ENST00000572404.1	n/a	n/a
ENST00000571422.1	n/a	n/a
ENST00000571512.1	n/a	n/a
ENST00000570309.1	n/a	n/a
ENST00000576738.1	NR_110850	LINC01979
ENST00000571142.1	n/a	n/a
ENST00000570407.1	n/a	n/a
ENST00000570444.1	n/a	n/a
ENST00000575751.1	NM_014566	OR1D5
ENST00000571841.1	NM_001321133	GOSR2
ENST00000570869.1	n/a	n/a
ENST00000571730.1	NM_012140	SLC25A10
ENST00000571591.1	n/a	n/a
ENST00000571113.1	n/a	n/a
ENST00000572195.2	NM_080822	OVCA2
ENST00000575985.1	n/a	n/a
ENST00000577087.2	n/a	n/a
ENST00000571741.1	n/a	n/a
ENST00000574352.1	n/a	n/a
ENST00000574104.1	n/a	n/a
ENST00000573621.1	NM_004732	KCNAB3
ENST00000571150.1	n/a	n/a
ENST00000570512.2	n/a	n/a
ENST00000574267.1	n/a	n/a
ENST00000576963.1	NR_146504	LINC01977
ENST00000570924.1	n/a	n/a
ENST00000571192.1	n/a	n/a
ENST00000576540.1	n/a	n/a
ENST00000571815.1	n/a	n/a
ENST00000333676.7	NM_002949	MRPL12
ENST00000576477.1	n/a	n/a
ENST00000570978.1	n/a	n/a
ENST00000576086.1	n/a	n/a
ENST00000576784.1	n/a	n/a
ENST00000570335.1	NR_110852	LOC101928855
ENST00000574365.1	n/a	n/a
ENST00000575546.1	n/a	n/a
ENST00000574483.1	n/a	n/a
ENST00000575927.1	n/a	n/a
ENST00000572036.1	n/a	n/a
ENST00000571724.3	n/a	n/a
ENST00000575930.5	n/a	n/a
ENST00000575310.1	NM_001303460,	FGF11,
ENST00000574252.1	n/a	n/a
ENST00000574885.1	NR_110818	LOC101927911
ENST00000572343.1	n/a	n/a
ENST00000574371.1	n/a	n/a
ENST00000575741.1	n/a	n/a
ENST00000574008.1	n/a	n/a
ENST00000570501.5	n/a	n/a
ENST00000574133.1	n/a	n/a
ENST00000574183.1	n/a	n/a
ENST00000572850.1	n/a	n/a
ENST00000576035.1	n/a	n/a
ENST00000576249.1	n/a	n/a
ENST00000574307.2	NR_110828	LOC101928266
ENST00000574246.1	n/a	n/a
ENST00000576808.1	n/a	n/a
ENST00000576277.1	n/a	n/a
ENST00000576871.1	n/a	n/a
ENST00000571282.1	n/a	n/a
ENST00000570544.1	n/a	n/a
ENST00000573133.1	n/a	n/a
ENST00000572790.1	n/a	n/a
ENST00000574460.1	n/a	n/a
ENST00000574471.1	NR_136400	LOC101929552
ENST00000575034.5	NR_029376	RNF213-AS1
ENST00000576014.1	n/a	n/a
ENST00000574716.1	n/a	n/a
ENST00000576836.1	n/a	n/a
ENST00000576220.1	n/a	n/a
ENST00000572877.1	n/a	n/a
ENST00000576706.1	n/a	n/a
ENST00000570478.5	n/a	n/a
ENST00000574472.1	n/a	n/a
ENST00000575056.1	n/a	n/a
ENST00000573371.1	n/a	n/a
ENST00000570413.1	n/a	n/a
ENST00000572417.1	n/a	n/a
ENST00000577175.1	n/a	n/a
ENST00000574529.1	n/a	n/a
ENST00000576282.1	n/a	n/a
ENST00000574386.1	n/a	n/a
ENST00000576215.1	n/a	n/a
ENST00000575880.1	n/a	n/a
ENST00000572792.1	n/a	n/a
ENST00000571086.1	n/a	n/a
ENST00000571702.1	n/a	n/a
ENST00000572590.1	n/a	n/a
ENST00000575890.1	n/a	n/a
ENST00000571452.1	n/a	n/a
ENST00000575039.1	NR_110881	THCAT158
ENST00000570974.1	n/a	n/a
ENST00000576615.1	n/a	n/a
ENST00000571890.1	NR_146884	LINC01975
ENST00000573755.1	n/a	n/a
ENST00000572848.1	NR_146898,	LINC01982,
ENST00000570919.1	n/a	n/a
ENST00000573568.1	n/a	n/a
ENST00000576271.1	n/a	n/a
ENST00000574290.1	n/a	n/a
ENST00000583159.1	n/a	n/a
ENST00000583895.6	n/a	n/a
ENST00000581240.1	n/a	n/a
ENST00000578656.1	n/a	n/a
ENST00000584139.1	n/a	n/a
ENST00000583141.1	n/a	n/a
ENST00000579114.5	NR_073457	TMEM220-AS1
ENST00000584428.1	n/a	n/a
ENST00000577807.1	n/a	n/a
ENST00000581851.1	NR_036581	TMEM238L
ENST00000580677.1	n/a	n/a
ENST00000582685.1	n/a	n/a
ENST00000581083.1	n/a	n/a
ENST00000584258.1	n/a	n/a
ENST00000581686.1	n/a	n/a
ENST00000580658.1	n/a	n/a
ENST00000577329.1	n/a	n/a
ENST00000580225.1	n/a	n/a
ENST00000578662.1	NR_110807	LOC101927539
ENST00000580253.1	n/a	n/a
ENST00000580257.1	NR_026901,	MAPK8IP1P2,
ENST00000645807.1	n/a	n/a
ENST00000579474.1	NR_131984	LINC02563
ENST00000584157.1	n/a	n/a
ENST00000581275.2	n/a	n/a
ENST00000580539.2	n/a	n/a
ENST00000648259.1	NR_144546	UBBP4
ENST00000577970.1	n/a	n/a
ENST00000583224.2	n/a	n/a
ENST00000583854.1	NM_001278587	LOC100134391
ENST00000584932.1	NR_039748	MIR4522
ENST00000583521.1	n/a	n/a
ENST00000577295.1	NR_110878	HID1-AS1
ENST00000583892.1	NR_036150	MIR3185
ENST00000581019.1	n/a	n/a
ENST00000584894.1	n/a	n/a
ENST00000578977.1	n/a	n/a
ENST00000581964.1	n/a	n/a
ENST00000498285.1	NM_014232	VAMP2
ENST00000584203.1	n/a	n/a
ENST00000583552.1	n/a	n/a
ENST00000579209.1	NR_026899	ARHGAP27P1-BPTFP1-KPNA2P3
ENST00000582566.1	n/a	n/a
ENST00000577846.1	n/a	n/a
ENST00000584815.1	n/a	n/a
ENST00000577281.2	n/a	n/a
ENST00000579621.1	n/a	n/a
ENST00000582790.2	NR_030385	MIR548D2
ENST00000582915.1	n/a	n/a
ENST00000579641.2	n/a	n/a
ENST00000582196.1	n/a	n/a
ENST00000634540.1	NM_001256299,	LINC02210-CRHR1,
ENST00000583156.1	n/a	n/a
ENST00000581657.1	NR_136503,	SEPTIN9-DT,
ENST00000584393.1	n/a	n/a
ENST00000582896.1	n/a	n/a
ENST00000582866.1	n/a	n/a
ENST00000579644.2	n/a	n/a
ENST00000582389.5	n/a	n/a
ENST00000580924.1	n/a	n/a
ENST00000579554.1	n/a	n/a
ENST00000582246.1	n/a	n/a
ENST00000581722.1	n/a	n/a
ENST00000641877.1	NM_001278197	CDK5RAP3
ENST00000582471.1	NM_213597	KRBA2
ENST00000579106.2	n/a	n/a
ENST00000584586.1	n/a	n/a
ENST00000585075.1	NR_036520	LOC100287042
ENST00000584140.1	NR_039882	MIR4729
ENST00000579981.1	n/a	n/a
ENST00000579378.1	n/a	n/a
ENST00000579654.1	n/a	n/a
ENST00000583195.2	NR_038847	LINC00672
ENST00000577467.2	n/a	n/a
ENST00000580496.1	n/a	n/a
ENST00000582394.1	n/a	n/a
ENST00000584975.2	n/a	n/a
ENST00000577438.1	n/a	n/a
ENST00000584923.1	NR_006880	SNORD3A
ENST00000582080.1	n/a	n/a
ENST00000579603.1	n/a	n/a
ENST00000582767.1	n/a	n/a
ENST00000580962.1	n/a	n/a
ENST00000583236.1	n/a	n/a
ENST00000583321.1	NR_036201	MIR4314
ENST00000582367.1	n/a	n/a
ENST00000579529.2	n/a	n/a
ENST00000582142.1	n/a	n/a
ENST00000582990.1	n/a	n/a
ENST00000577573.1	NR_135222	LINC02003
ENST00000583209.1	n/a	n/a
ENST00000581474.1	n/a	n/a
ENST00000577814.1	n/a	n/a
ENST00000583979.1	NR_039890	MIR4737
ENST00000580309.1	n/a	n/a
ENST00000583052.1	n/a	n/a
ENST00000476049.1	NM_152349	KRT222
ENST00000579394.1	NR_036200	MIR4316
ENST00000582320.2	NR_029685	MIR144
ENST00000577743.1	n/a	n/a
ENST00000580842.1	n/a	n/a
ENST00000584125.1	n/a	n/a
ENST00000582714.1	n/a	n/a
ENST00000583377.1	n/a	n/a
ENST00000585065.1	n/a	n/a
ENST00000577319.2	n/a	n/a
ENST00000581633.1	n/a	n/a
ENST00000582737.1	n/a	n/a
ENST00000585289.1	n/a	n/a
ENST00000358484.4	n/a	n/a
ENST00000583598.1	n/a	n/a
ENST00000579262.1	n/a	n/a
ENST00000582370.1	n/a	n/a
ENST00000577556.1	n/a	n/a
ENST00000580926.1	NR_049723	MAGOH2P
ENST00000579352.1	n/a	n/a
ENST00000427497.3	NM_144997	FLCN
ENST00000583916.1	n/a	n/a
ENST00000578585.1	n/a	n/a
ENST00000579660.1	n/a	n/a
ENST00000581213.1	n/a	n/a
ENST00000581610.1	n/a	n/a
ENST00000581896.2	n/a	n/a
ENST00000582507.1	n/a	n/a
ENST00000585020.1	n/a	n/a
ENST00000583018.1	n/a	n/a
ENST00000577360.1	n/a	n/a
ENST00000579050.1	n/a	n/a
ENST00000583346.1	n/a	n/a
ENST00000579673.1	n/a	n/a
ENST00000578714.1	NR_049845	MIR548AT
ENST00000577757.1	n/a	n/a
ENST00000475566.3	n/a	n/a
ENST00000580004.1	n/a	n/a
ENST00000579991.2	NM_080677	DYNLL2
ENST00000584353.1	n/a	n/a
ENST00000581591.1	NR_039889	MIR4736
ENST00000583452.1	n/a	n/a
ENST00000580931.1	n/a	n/a
ENST00000255381.2	NM_017533	MYH4
ENST00000578566.1	NR_036148,	MIR3183,
ENST00000580697.1	n/a	n/a
ENST00000581995.1	n/a	n/a
ENST00000579972.1	NR_110804	LOC101927166
ENST00000580979.1	n/a	n/a
ENST00000582272.1	n/a	n/a
ENST00000582609.1	NR_039745	MIR4520-1
ENST00000578466.1	n/a	n/a
ENST00000582101.1	n/a	n/a
ENST00000584277.1	n/a	n/a
ENST00000448026.3	n/a	n/a
ENST00000578455.1	NR_037449	MIR3678
ENST00000582889.1	n/a	n/a
ENST00000578523.1	n/a	n/a
ENST00000582557.5	NR_144395	SUZ12P1
ENST00000582502.2	n/a	n/a
ENST00000583426.1	n/a	n/a
ENST00000581303.1	n/a	n/a
ENST00000578482.1	n/a	n/a
ENST00000583878.1	n/a	n/a
ENST00000584705.1	n/a	n/a
ENST00000582718.1	n/a	n/a
ENST00000634876.1	NR_024559,	MAPT-AS1,
ENST00000578040.1	n/a	n/a
ENST00000582858.1	n/a	n/a
ENST00000584107.1	n/a	n/a
ENST00000579327.1	n/a	n/a
ENST00000584715.5	NR_110822	PRKCA-AS1
ENST00000577546.1	n/a	n/a
ENST00000584986.1	n/a	n/a
ENST00000583752.1	n/a	n/a
ENST00000582959.1	n/a	n/a
ENST00000581673.1	n/a	n/a
ENST00000580630.1	n/a	n/a
ENST00000577607.1	n/a	n/a
ENST00000583662.1	n/a	n/a
ENST00000580589.5	NR_110810	SEPTIN4-AS1
ENST00000578710.1	n/a	n/a
ENST00000584523.1	n/a	n/a
ENST00000578239.1	n/a	n/a
ENST00000577346.1	n/a	n/a
ENST00000582895.1	n/a	n/a
ENST00000580280.1	n/a	n/a
ENST00000580125.1	n/a	n/a
ENST00000580996.1	n/a	n/a
ENST00000578053.2	NR_002221	DPRXP4
ENST00000579100.1	n/a	n/a
ENST00000577544.1	n/a	n/a
ENST00000577569.1	n/a	n/a
ENST00000580897.1	n/a	n/a
ENST00000581621.1	NM_001251	CD68
ENST00000580884.1	n/a	n/a
ENST00000577709.1	n/a	n/a
ENST00000577218.1	n/a	n/a
ENST00000579993.1	n/a	n/a
ENST00000579188.1	n/a	n/a
ENST00000577647.2	NM_152830	ACE
ENST00000583910.1	n/a	n/a
ENST00000582254.1	n/a	n/a
ENST00000582421.1	n/a	n/a
ENST00000578539.1	n/a	n/a
ENST00000580671.1	NM_001050	SSTR2
ENST00000578050.2	n/a	n/a
ENST00000441958.2	n/a	n/a
ENST00000578214.1	n/a	n/a
ENST00000582696.1	n/a	n/a
ENST00000581917.1	n/a	n/a
ENST00000584963.1	n/a	n/a
ENST00000579285.1	n/a	n/a
ENST00000582787.1	NR_135480	LOC102724532
ENST00000584626.1	n/a	n/a
ENST00000578640.1	n/a	n/a
ENST00000580533.1	NR_006881	SNORD3C
ENST00000582245.1	NR_033420	SH3GL1P2
ENST00000580942.1	NR_126169	PRR29-AS1
ENST00000578881.1	n/a	n/a
ENST00000579299.2	n/a	n/a
ENST00000584535.1	NR_039883	MIR4730
ENST00000582263.1	n/a	n/a
ENST00000650069.1	n/a	n/a
ENST00000578659.1	n/a	n/a
ENST00000583712.2	NR_135635	LOC101928251
ENST00000579438.1	n/a	n/a
ENST00000580047.1	NR_049812	MIR5089
ENST00000584542.1	NR_135634	MARCHF10-DT
ENST00000579037.1	n/a	n/a
ENST00000584728.1	n/a	n/a
ENST00000581165.1	n/a	n/a
ENST00000579001.1	n/a	n/a
ENST00000577309.1	n/a	n/a
ENST00000585025.1	n/a	n/a
ENST00000585292.2	n/a	n/a
ENST00000579629.1	n/a	n/a
ENST00000583761.1	NR_002181	PPY2P
ENST00000584779.1	n/a	n/a
ENST00000578296.1	n/a	n/a
ENST00000581579.1	NR_040019	C1QTNF1-AS1
ENST00000584708.1	n/a	n/a
ENST00000577698.1	n/a	n/a
ENST00000580859.1	NR_039884	MIR4731
ENST00000584863.1	n/a	n/a
ENST00000578584.5	NM_006495	EVI2B
ENST00000584075.1	n/a	n/a
ENST00000579975.1	n/a	n/a
ENST00000579897.1	n/a	n/a
ENST00000581815.1	n/a	n/a
ENST00000580360.1	n/a	n/a
ENST00000579527.5	NR_038410	TSPOAP1-AS1
ENST00000579752.1	NR_103559	CDRT8
ENST00000585189.1	n/a	n/a
ENST00000580969.1	NR_039881	MIR4728
ENST00000577988.2	NR_003924,	SNORD3B-2,
ENST00000578819.1	n/a	n/a
ENST00000579003.1	NR_029683	MIR142
ENST00000584959.1	n/a	n/a
ENST00000578408.1	n/a	n/a
ENST00000580930.1	n/a	n/a
ENST00000581944.1	n/a	n/a
ENST00000580714.1	n/a	n/a
ENST00000580149.1	n/a	n/a
ENST00000581122.1	n/a	n/a
ENST00000584594.1	n/a	n/a
ENST00000584608.1	n/a	n/a
ENST00000579019.2	n/a	n/a
ENST00000583250.1	n/a	n/a
ENST00000579304.2	n/a	n/a
ENST00000583145.1	n/a	n/a
ENST00000577660.1	NM_018149	SMG8
ENST00000577478.2	NR_110813	LINC01476
ENST00000578752.1	n/a	n/a
ENST00000581569.1	NR_049834	MIR4524B
ENST00000580873.1	n/a	n/a
ENST00000577227.1	n/a	n/a
ENST00000578226.1	n/a	n/a
ENST00000584676.1	n/a	n/a
ENST00000636421.1	n/a	n/a
ENST00000579136.1	n/a	n/a
ENST00000582938.1	n/a	n/a
ENST00000585228.1	n/a	n/a
ENST00000583934.1	n/a	n/a
ENST00000579044.1	n/a	n/a
ENST00000577678.1	n/a	n/a
ENST00000580084.1	n/a	n/a
ENST00000582841.1	n/a	n/a
ENST00000578268.1	NR_039886	MIR4733
ENST00000579159.1	n/a	n/a
ENST00000584490.1	n/a	n/a
ENST00000579095.1	n/a	n/a
ENST00000579400.6	n/a	n/a
ENST00000581517.1	n/a	n/a
ENST00000577325.1	n/a	n/a
ENST00000584957.2	n/a	n/a
ENST00000578578.5	NR_028334	KRT18P55
ENST00000584772.1	NR_104607	LOC100128006
ENST00000580134.1	n/a	n/a
ENST00000580405.1	NR_039747	MIR1269B
ENST00000582325.1	n/a	n/a
ENST00000582780.1	n/a	n/a
ENST00000583907.1	n/a	n/a
ENST00000581805.5	n/a	n/a
ENST00000579745.1	NR_037584	AA06
ENST00000578936.1	n/a	n/a
ENST00000583863.1	n/a	n/a
ENST00000579691.2	NR_039607	MIR1268B
ENST00000433967.2	n/a	n/a
ENST00000583470.1	n/a	n/a
ENST00000583151.1	n/a	n/a
